HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at birth (years),Nigeria,2019,Female,54.9,10.0,8.0
Healthy life expectancy (HALE) at birth (years),Liberia,2019,Female,55.0,6.5,-9.5
Healthy life expectancy (HALE) at birth (years),Guyana,2019,Male,55.1,5.0,-59.0
Healthy life expectancy (HALE) at birth (years),Malawi,2019,Male,55.1,-13.5,34.0
Healthy life expectancy (HALE) at birth (years),Niger,2019,Male,55.3,16.0,8.0
Healthy life expectancy (HALE) at birth (years),Democratic Republic of the Congo,2019,Female,55.4,,
Healthy life expectancy (HALE) at birth (years),Benin,2019,Both sexes,55.5,9.5,2.25
Healthy life expectancy (HALE) at birth (years),Niger,2019,Both sexes,55.5,16.0,8.0
Healthy life expectancy (HALE) at birth (years),Burundi,2019,Both sexes,55.6,-3.5,30.0
Healthy life expectancy (HALE) at birth (years),Cameroon,2019,Female,55.6,6.0,12.0
Healthy life expectancy (HALE) at birth (years),Eritrea,2019,Both sexes,55.7,15.0,39.0
Healthy life expectancy (HALE) at birth (years),Botswana,2019,Female,55.8,-22.0,24.0
Healthy life expectancy (HALE) at birth (years),Haiti,2019,Both sexes,55.8,19.0,-72.42
Healthy life expectancy (HALE) at birth (years),Haiti,2019,Female,55.8,19.0,-72.42
Healthy life expectancy (HALE) at birth (years),Niger,2019,Female,55.8,16.0,8.0
Healthy life expectancy (HALE) at birth (years),Haiti,2019,Male,55.9,19.0,-72.42
Healthy life expectancy (HALE) at birth (years),Gabon,2019,Male,56.0,-1.0,11.75
Healthy life expectancy (HALE) at birth (years),Micronesia (Federated States of),2019,Both sexes,56.0,,
Healthy life expectancy (HALE) at birth (years),Uganda,2019,Male,56.0,1.0,32.0
Healthy life expectancy (HALE) at birth (years),Congo,2019,Female,56.1,-1.0,15.0
Healthy life expectancy (HALE) at birth (years),Namibia,2019,Both sexes,56.1,-22.0,17.0
Healthy life expectancy (HALE) at birth (years),Angola,2019,Female,56.2,-12.5,18.5
Healthy life expectancy (HALE) at birth (years),Congo,2019,Both sexes,56.2,-1.0,15.0
Healthy life expectancy (HALE) at birth (years),Papua New Guinea,2019,Male,56.2,-6.0,147.0
Healthy life expectancy (HALE) at birth (years),South Africa,2019,Both sexes,56.2,-29.0,24.0
Healthy life expectancy (HALE) at birth (years),Togo,2019,Both sexes,56.2,8.0,1.17
Healthy life expectancy (HALE) at birth (years),Burkina Faso,2019,Female,56.3,13.0,-2.0
Healthy life expectancy (HALE) at birth (years),Zambia,2019,Female,56.3,-15.0,30.0
Healthy life expectancy (HALE) at birth (years),Congo,2019,Male,56.4,-1.0,15.0
Healthy life expectancy (HALE) at birth (years),Gambia,2019,Male,56.4,13.47,-16.57
Healthy life expectancy (HALE) at birth (years),Kenya,2019,Male,56.4,1.0,38.0
Healthy life expectancy (HALE) at birth (years),Vanuatu,2019,Male,56.4,-16.0,167.0
